Feature,Importance
Recency,0.1941953359800364
AvgOrderValue,0.0939543080763181
AvgSpendPerMonth,0.09164142699829521
Monetary,0.09160564970444739
AvgQuantityPerOrder,0.0661679738722755
TotalItems,0.06206629498748304
AvgBasketSize,0.058989285462717214
PurchaseConsistency,0.05373819848000986
CustomerLifetime,0.051821346633661794
MeanGapDays,0.04728032579279698
ActiveMonths,0.03681447440296087
PurchaseVelocity,0.03505617051957442
UniqueProducts,0.032418243860948055
PurchaseCount,0.03112334253648076
Frequency,0.030583097040648276
RepeatPurchaseRatio,0.022544525651346188
